country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,4.8,3346.5,14,41.3,44.7,5.8,51.0/83.7,53.7,2.4,68.65,27.4/8.6,25,19481
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,0.4,5038.1,8.6,39.1,52.3,11.3,16.3/73.2,73.4,1.7,75.1,23.7/8.8,14.8,13291
Iraq,WesternAsia,435052,38275,88.1,102.5,-2.4,4509,4.6,58,37.4,16.1,15.3/69.9,69.5,4.6,69.2,40.4/5.0,32.1,6744
Ireland,NorthernEurope,69797,4762,69.1,98.4,26.3,60513.6,1,41.7,57.3,7.6,51.9/67.1,63.2,2,80.85,21.6/19.1,3.4,84
Israel,WesternAsia,22072,8322,384.5,98.7,2.5,37129.4,1.3,21.2,77.5,5.9,58.5/69.0,92.1,3,81.85,27.9/16.1,3.4,313
Italy,SouthernEurope,302073,59360,201.8,95.1,0.7,30462.4,2.2,23.5,74.2,11.4,39.2/57.8,69,1.4,82.3,13.5/29.4,3,1539
Jamaica,Caribbean,10990,2890,266.9,99,1,5105.8,7.1,22.3,70.5,13.1,58.1/72.7,54.8,2.1,75.5,22.7/13.6,15,8
Japan,EasternAsia,377930,127484,349.7,95.4,1.2,34628.7,1.2,26.4,72.4,3,48.9/69.7,93.5,1.4,83.2,12.9/33.4,2.2,1114
Jordan,WesternAsia,89318,9702,109.3,102.6,2.4,4940.1,4,27.7,68.4,13.4,14.5/64.5,83.7,3.6,73.85,35.5/5.7,17.1,7
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,1.2,10312.1,5,32.5,62.5,5.6,66.3/77.5,53.2,2.7,69.1,27.9/11.1,14.1,7091
Kenya,EasternAfrica,591958,49700,87.3,98.8,5.6,1376.7,32,19,49,10.8,62.4/72.4,25.6,4.1,65.4,40.5/4.3,39.4,750
Kiribati,Micronesia,726,116,143.7,97.3,3.7,1442.9,24.1,13.6,62.2,-99,-99,44.3,3.8,65.65,35.0/6.4,46.9,0
Kuwait,WesternAsia,17818,4136,232.1,134.9,1.8,29303.9,0.6,48.7,50.7,2.2,47.7/83.6,98.3,2,74.5,21.1/4.9,8.4,6941
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,3.5,1106.4,15.4,25.9,58.7,7.7,49.7/77.5,35.7,3.1,70.35,31.8/7.6,19.6,80
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,7.6,1850.2,23.6,32.8,43.6,1.5,77.9/77.8,38.6,2.9,65.35,32.9/6.3,47.3,72
Latvia,NorthernEurope,64573,1950,31.3,84.9,2.7,13704.1,3.2,23.3,73.5,9.6,54.5/67.7,67.4,1.5,73.75,15.4/26.2,6.5,108
Lebanon,WesternAsia,10452,6082,594.6,100.6,1.5,8571.4,3.2,19.6,77.2,7,23.8/70.6,87.8,1.7,79.1,23.1/12.0,9.2,7
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2.8,940.6,7.7,31.3,61,27.5,59.7/74.6,27.3,3.3,52.4,35.4/6.7,59.8,31
Liberia,WesternAfrica,111369,4732,49.1,101.8,0.3,455.9,70.8,11.4,17.9,4.1,57.9/64.1,49.7,4.8,60.7,41.8/4.9,59,73
Libya,NorthernAfrica,1676198,6375,3.6,101.7,-10.2,5488.2,0.9,67.1,32,19.2,27.8/78.4,78.6,2.4,71.6,28.2/6.6,24.3,1505
Liechtenstein,WesternEurope,160,38,237,98.4,1.4,169491.8,0.7,40.1,59.2,2.6,53.5/70.6,14.3,1.5,-99,14.9/22.7,-99,1
Lithuania,NorthernEurope,65286,2890,46.1,85.4,1.8,14383.7,3.6,29.8,66.5,9.2,54.1/66.1,66.5,1.6,73.9,14.8/25.3,4.4,74
Luxembourg,WesternEurope,2586,584,225.3,101,3.5,100160.8,0.2,12.1,87.7,5.6,52.0/65.5,90.2,1.5,81.1,16.4/19.6,3.4,6
Madagascar,EasternAfrica,587295,25571,44,99.5,3.1,401.8,24.9,18.4,56.7,2.3,83.8/89.0,35.1,4.4,64.5,41.0/4.8,36.8,129
Malawi,EasternAfrica,118484,18622,197.5,98.2,3,372.9,26.1,16.6,57.3,6.8,81.3/81.0,16.3,4.9,60.65,44.0/4.3,66.5,89
Malaysia,South-easternAsia,330323,31624,96.3,106.7,5,9768.4,8.6,39.6,51.8,3.3,49.3/77.8,74.7,2.1,74.85,24.3/9.7,6.5,3738
Maldives,SouthernAsia,300,436,1454.4,131.8,2.8,9446.5,3.1,22,74.9,2.9,57.8/79.6,45.5,2.2,76.4,23.4/6.3,9,0
Mali,WesternAfrica,1240192,18542,15.2,100.2,7.6,744.3,39.9,19.6,40.5,8.1,50.5/82.3,39.9,6.4,56.25,47.7/4.0,78.5,55
Malta,SouthernEurope,315,431,1346.4,100.9,6.2,23280.7,1.4,15,83.6,5.4,39.4/65.7,95.4,1.4,80.3,14.4/26.1,4.8,1
Marshall Islands,Micronesia,181,53,295.2,104.5,0.6,3452.6,16.4,10.2,73.3,4.7,29.0/53.3,72.7,4.1,71.9,39.0/5.5,25.4,0
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,1.2,1235,20.9,41.7,37.4,12,29.3/65.5,59.9,4.9,62.65,39.9/5.0,68,31
Mauritius,EasternAfrica,1969,1265,623.2,97.9,3.5,9040.9,2.9,22.7,74.4,7.6,46.9/74.3,39.7,1.5,74.2,18.4/16.6,12,10
Mexico,CentralAmerica,1964375,129163,66.4,99.2,2.5,8980.9,3.6,36,60.4,4.1,45.5/79.5,79.2,2.3,76.45,26.7/10.1,18.8,8514
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,3.7,3015.2,27.8,6.5,65.8,-99,-99,22.4,3.3,68.75,33.1/8.0,33.2,0
Monaco,WesternEurope,2,39,25969.8,94.7,5.4,165870.6,-99,13.4,86.6,-99,-99,100,-99,-99,-99,-99,-99
Mongolia,EasternAsia,1564116,3076,2,97.9,2.3,3973.4,14.8,34.1,51.1,6.3,56.8/69.3,72,2.8,68.6,29.7/6.6,22.8,677
Montenegro,SouthernEurope,13812,629,46.8,97.4,4.5,6424.1,9.8,17.5,72.6,17.4,41.8/55.9,64,1.7,76.4,18.1/21.3,4.1,29
Montserrat,Caribbean,103,5,51.8,106,0.4,11553.4,1.4,12.7,85.9,5.6,-99,9,-99,-99,19.7/19.6,-99,-99
Morocco,NorthernAfrica,446550,35740,80.1,98.1,4.4,2919.3,13.7,28.9,57.4,10.4,25.6/74.5,60.2,2.6,74.85,27.4/10.7,28.1,78
Mozambique,EasternAfrica,799380,29669,37.7,95.5,6.6,529.2,24.6,21,54.4,24.1,82.2/75.6,32.2,5.4,56.05,44.8/4.8,67.3,779
Myanmar,South-easternAsia,676577,53371,81.7,95.5,7.3,1161.5,26.7,34.5,38.7,0.8,74.7/80.8,34.1,2.3,66,26.8/9.4,45,1078
Namibia,SouthernAfrica,824116,2534,3.1,94.7,5.3,4673.6,6.6,30.6,62.8,24.9,56.4/64.3,46.7,3.6,61.7,36.7/5.5,36.4,19
Nauru,Micronesia,21,11,568,101.9,18.7,18469.2,3,59.9,37.1,23,49.3/78.9,100,3.9,61.3,39.5/4.0,18,0
Nepal,SouthernAsia,147181,29305,204.4,94.3,2.7,724.5,31.8,14.9,53.3,3,79.7/86.7,18.6,2.3,68.9,30.9/8.8,32.8,451
Netherlands,WesternEurope,41542,17036,505.2,99,2,44332.1,1.8,20,78.2,5.6,57.3/69.7,90.5,1.7,81.25,16.4/25.0,3.5,2447
New Caledonia,Melanesia,18575,276,15.1,101.5,3.2,33965.7,1.4,26,72.6,15.1,45.5/66.9,70.2,2.2,76.5,22.5/14.2,13,1
New Zealand,Oceania,268107,4706,17.9,96.7,3.1,38294.3,6.5,23,70.6,5.5,62.1/72.8,86.3,2,81.3,19.8/20.8,4.4,783
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,4.9,2086.9,18.8,26.8,54.4,6.1,49.6/80.6,58.8,2.3,74.45,29.0/8.4,20,91
Niger,WesternAfrica,1267000,21477,17,100.6,3.6,359,39.6,19.1,41.3,2.7,40.4/89.2,18.7,7.4,58.55,50.2/4.2,65.8,101
Nigeria,WesternAfrica,923768,190886,209.6,102.7,2.7,2714.5,20.9,20.4,58.8,5.4,48.5/64.3,47.8,5.7,51.9,44.0/4.5,76.3,10851
Norway,NorthernEurope,386194,5305,14.5,101.8,1.6,74185.5,1.8,34.6,63.5,5.1,61.1/68.3,80.5,1.8,81.55,17.8/22.3,2.4,8204
Oman,WesternAsia,309500,4636,15,192.8,5.7,15550.8,1.5,51.1,47.3,17.8,30.1/85.4,77.6,2.9,76.6,21.8/4.0,9.6,3101
Pakistan,SouthernAsia,796095,197016,255.6,105.6,5.5,1410.4,25.5,19,55.5,5.9,24.8/82.5,38.8,3.7,65.9,34.8/6.7,69.8,2202
Palau,Micronesia,459,22,47.2,113.3,5.7,12122.5,3.8,8,88.2,-99,-99,87.1,2.2,72.95,20.3/13.1,13.3,-99
Panama,CentralAmerica,75320,4099,55.1,100.4,5.8,13268.1,2.8,27.1,70,6.2,50.5/80.4,66.6,2.6,77.4,27.4/11.4,15.2,31
Papua New Guinea,Melanesia,462840,8251,18.2,103.5,6.6,2797.6,20.1,28.2,51.8,2.5,69.6/71.2,13,3.8,65,35.9/6.1,49,114
Paraguay,SouthAmerica,406752,6811,17.1,102.9,3.1,4174.4,19,29.5,51.6,5.5,58.3/84.7,59.7,2.6,72.8,29.4/9.4,28.8,325
Peru,SouthAmerica,1285216,32166,25.1,99.8,3.3,6069.1,7.6,33.3,59.2,5.3,66.1/82.8,78.6,2.5,74.15,27.4/10.4,18.6,1020
Philippines,South-easternAsia,300000,104918,351.9,101.3,5.9,2904.2,10.5,31.3,58.2,5.9,50.8/78.9,44.4,3,68.75,31.7/7.6,22.2,991
Poland,EasternEurope,312679,38171,124.6,93.4,3.9,12355.5,2.6,34.1,63.3,5.3,49.1/64.9,60.5,1.3,76.95,14.8/24.0,4.5,2819
Portugal,SouthernEurope,92226,10330,112.8,89.8,1.6,19239.2,2.3,22.3,75.4,10.5,53.3/63.7,63.5,1.3,80.4,13.6/27.9,2.9,250
Puerto Rico,Caribbean,8868,3663,413,92.6,0,27939,0.8,50,49.1,12.8,34.4/51.7,93.6,1.5,79.2,17.9/20.4,6.3,1
Qatar,WesternAsia,11607,2639,227.3,301.2,3.6,73653.4,0.2,56.4,43.5,0.3,53.1/93.6,99.2,2,78.1,13.9/2.8,7.2,9166
Republic of Korea,EasternAsia,100284,50982,524.3,100.2,2.6,27396.7,2.3,38,59.7,3.6,50.2/71.9,82.5,1.2,81.15,13.5/20.1,3,2023
Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,-0.7,1591.4,13.4,20.8,65.8,5,39.1/46.5,45,1.3,70.95,15.7/17.6,14.3,15
Romania,EasternEurope,238391,19679,85.5,94,3.7,9120.7,4.8,34.9,60.3,7.1,47.3/64.5,54.6,1.5,74.9,15.3/24.9,8.7,1109
