country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
Togo,WesternAfrica,56785,7798,143.4,99.4,5.5,559.4,45.7,19.7,34.6,6.8,81.0/80.7,40,4.7,59.05,41.6/4.6,55.7,111
Tonga,Polynesia,747,108,150,100.7,3.8,3784.5,22.4,21.5,56.1,4.8,52.9/73.9,23.7,3.8,72.6,35.8/8.5,20.6,0
Trinidad and Tobago,Caribbean,5127,1369,266.9,97.1,0.2,19062.9,0.5,42.5,57,4.2,52.4/73.2,8.4,1.8,70.35,20.7/15.0,24.8,1663
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,0.8,3660.9,10.3,27.8,62,14.6,25.1/71.3,66.8,2.3,75.05,24.0/12.3,18.5,274
Turkey,WesternAsia,783562,80745,104.9,97,4,9125.8,8.6,26.4,65,10.8,30.4/71.4,73.4,2.1,74.8,25.0/12.0,12.6,1303
Turkmenistan,CentralAsia,488100,5758,12.3,97,6.5,6996.7,13.4,51,35.6,8.6,47.3/77.7,50,3,67.35,30.9/7.3,46.9,3270
Turks and Caicos Islands,Caribbean,948,35,37.3,104.1,4.1,25121.8,0.6,10.4,89,-99,-99,92.2,-99,76.8,19.2/7.6,-99,0
Tuvalu,Polynesia,26,11,373.1,102,3.5,3362.4,26,7.6,66.4,-99,-99,59.7,3.6,-99,31.1/9.9,-99,-99
Uganda,EasternAfrica,241550,42863,214.5,99,5.4,647.7,25.6,21.5,52.9,2.4,82.3/87.7,16.1,5.9,58.6,47.7/3.3,60.2,409
Ukraine,EasternEurope,603500,44223,76.3,86,-9.9,2021.6,14,26.3,59.7,8.8,52.3/67.5,69.7,1.5,71.05,15.5/23.2,8.8,3203
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,3.8,40438.8,0.7,44.9,54.4,3.7,41.7/90.8,85.5,1.8,77.1,13.9/2.4,6.2,8642
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2.2,44162.4,0.7,19.4,79.9,5,57.0/68.6,82.6,1.9,80.9,17.7/23.9,4.1,4482
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,97.8,7,877.3,31.1,26.1,42.9,2.7,73.9/83.2,31.6,5.2,62.8,44.9/4.7,44,935
United States of America,NorthernAmerica,9833517,324460,35.5,98,2.6,56053.8,1,19.7,79.3,4.9,55.7/68.1,81.6,1.9,78.85,18.9/21.5,6,83887
Uruguay,SouthAmerica,173626,3457,19.8,93.5,1,15573.8,6.8,28,65.2,8.8,55.6/76.3,95.3,2,76.8,21.1/19.5,12.7,113
Uzbekistan,CentralAsia,448969,31911,75,99.4,6.8,2308.3,19.2,32.9,47.9,8.9,48.5/76.6,36.4,2.4,70.8,28.0/7.6,31.3,2339
Vanuatu,Melanesia,12189,276,22.7,102.4,-1,2783,26.7,8.4,64.9,5.3,61.7/80.5,26.1,3.4,71.5,35.9/6.7,24.3,1
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99,-6.2,11068.9,5.3,44.7,50,6.6,51.5/78.3,89,2.4,74.05,27.6/9.9,13.8,7460
Viet Nam,South-easternAsia,330967,95541,308.1,98,6.7,2067.9,18.9,37,44.2,2.2,73.9/83.3,33.6,2,75.5,23.1/11.1,19.3,2977
Yemen,WesternAsia,527968,28250,53.5,102.1,-28.1,1106.4,14.7,36.9,48.4,16.1,26.2/73.7,34.6,4.4,64.2,39.9/4.6,47.2,668
Zambia,EasternAfrica,752612,17094,23,98.5,2.9,1311.1,8.2,32.3,59.5,7.4,69.9/80.9,40.9,5.2,59.7,44.8/3.7,53.8,374
Zimbabwe,EasternAfrica,390757,16530,42.7,95,1.1,890.4,13,30.5,56.5,5,78.0/87.5,32.4,4,57.55,41.2/4.2,46.5,482
